nome,categoria,preco,descricao
Notebook Pro X,Eletrônicos,4500.0,"Notebook com processador Intel Core i7, 16GB de RAM e SSD de alta capacidade, ideal para trabalho, estudos e tarefas de alto desempenho."
Mouse Ergonômico Z,Periféricos,189.9,"Mouse sem fio com design ergonômico, sensor óptico DPI ajustável e formato desenvolvido para proporcionar conforto durante longos períodos de uso."
Cadeira Gamer Alpha,Móveis,1299.0,"Cadeira reclinável com suporte lombar ajustável, apoio de cabeça, braços ajustáveis e estrutura projetada para maior conforto durante longas sessões."
Headset Studio Pro,Áudio,549.0,"Headset com cancelamento de ruído ativo, áudio de alta qualidade, microfone integrado e conexão sem fio para uma experiência sonora imersiva."
Monitor UltraWide 34,Monitores,2890.0,"Monitor curvo de 34 polegadas com resolução WQHD, alta taxa de atualização e formato ultrawide, ideal para produtividade, criação de conteúdo e entretenimento."
Teclado Mecânico RGB,Periféricos,379.0,"Teclado mecânico com switches táteis, iluminação RGB personalizável, construção resistente e teclas projetadas para digitação confortável e precisa."
Webcam 4K,Periféricos,459.0,"Webcam com resolução 4K, correção automática de iluminação, microfone integrado e qualidade de imagem adequada para reuniões, transmissões e gravações."
SSD Externo 1TB,Armazenamento,349.9,"SSD externo com 1TB de capacidade, interface USB de alta velocidade e desempenho adequado para transferência rápida de arquivos e backups."
Hub USB-C 7 em 1,Periféricos,219.0,"Hub compacto com 2 portas USB-A, saída HDMI 4K, leitor de cartões SD e conexões adicionais para expandir a conectividade de notebooks com USB-C."
Suporte para Notebook,Acessórios,149.9,"Suporte ajustável em alumínio com 6 níveis de altura, estrutura resistente e design dobrável, proporcionando melhor ergonomia e ventilação para o notebook."
